,name,stars,no_of_ratings,price,discount,sleeve,fit,collar
145,Men Standard Pure Cotton Corduroy Casual Shirt,4.2,32 Ratings,â‚¹1099,(Rs. 1900 OFF),Long Sleeves,Regular Fit,Spread Collar
146,Men Blue Pure Cotton Checked Casual Shirt,3.8,621 Ratings,â‚¹619,(69% OFF),Long Sleeves,Regular Fit,Spread Collar
147,Floral Printed Cotton Casual Shirt,4.4,607 Ratings,â‚¹671,(68% OFF),Short Sleeves,Regular Fit,Spread Collar
148,Men Classic Slim Fit Opaque Casual Shirt,,,â‚¹899,(40% OFF),Long Sleeves,Slim Fit,Mandarin Collar
149,Men Cutaway Collar Textured Slim Fit Casual Shirt,,,â‚¹629,(70% OFF),Long Sleeves,Slim Fit,Cutaway Collar
150,Men Grey Casual Shirt,4.1,8.3k Ratings,â‚¹662,(61% OFF),Long Sleeves,Regular Fit,Spread Collar
151,Men Peach-Coloured Comfort Cotton Casual Shirt,4.1,30k Ratings,â‚¹402,(77% OFF),Long Sleeves,Regular Fit,Spread Collar
152,Street Cool Textured Shirt,3.7,12 Ratings,â‚¹605,(Rs. 894 OFF),Long Sleeves,Regular Fit,Spread Collar
153,Men Opaque Casual Shirt,,,â‚¹529,(Rs. 1970 OFF),Short Sleeves,Regular Fit,Button-Down Collar
154,Men Micro Ditsy Ethnic Printed Casual Shirt,4.1,114 Ratings,â‚¹307,(78% OFF),Long Sleeves,Regular Fit,Spread Collar
155,Men Blue Regular Fit Solid Chambray Casual Shirt,4.1,4.1k Ratings,â‚¹637,(71% OFF),Long Sleeves,Regular Fit,Spread Collar
156,Men Black Slim Fit Casual Shirt,4.1,107.2k Ratings,â‚¹684,(63% OFF),Long Sleeves,Slim Fit,Spread Collar
157,Men Striped Casual Shirt,4.3,38.7k Ratings,â‚¹639,(68% OFF),Long Sleeves,Regular Fit,Button-Down Collar
158,Men Button-Down Collar Vertical Striped Cotton Casual Shirt,,,â‚¹674,(25% OFF),Long Sleeves,Regular Fit,Button-Down Collar
159,Men Olive Green & White Slim Fit Printed Casual Shirt,4.1,447 Ratings,â‚¹349,(80% OFF),Long Sleeves,Slim Fit,Spread Collar
160,Green Slim Fit Tartan Checks Casual Shirt,4.3,120 Ratings,â‚¹671,(68% OFF),Long Sleeves,Slim Fit,Spread Collar
